X,Y,Z,dX,dY,dZ,Tangent
0.141666,0.141666,0,-0.295384,-0.295384,0,0.417736
0.138682,0.138682,0,-0.301203,-0.301203,0,0.425965
0.135642,0.135642,0,-0.306845,-0.306845,0,0.433944
0.132546,0.132546,0,-0.312309,-0.312309,0,0.441672
0.129396,0.129396,0,-0.317597,-0.317597,0,0.44915
0.126195,0.126195,0,-0.322707,-0.322707,0,0.456377
0.122943,0.122943,0,-0.32764,-0.32764,0,0.463353
0.119643,0.119643,0,-0.332396,-0.332396,0,0.470078
0.116296,0.116296,0,-0.336974,-0.336974,0,0.476553
0.112904,0.112904,0,-0.341375,-0.341375,0,0.482778
0.109469,0.109469,0,-0.345599,-0.345599,0,0.488751
0.105992,0.105992,0,-0.349646,-0.349646,0,0.494474
0.102476,0.102476,0,-0.353516,-0.353516,0,0.499946
0.0989226,0.0989226,0,-0.357208,-0.357208,0,0.505168
0.0953328,0.0953328,0,-0.360723,-0.360723,0,0.510139
0.0917087,0.0917087,0,-0.364061,-0.364061,0,0.51486
0.0880522,0.0880522,0,-0.367221,-0.367221,0,0.519329
0.0843649,0.0843649,0,-0.370205,-0.370205,0,0.523549
0.0806487,0.0806487,0,-0.373011,-0.373011,0,0.527517
0.0769053,0.0769053,0,-0.37564,-0.37564,0,0.531235
0.0731365,0.0731365,0,-0.378091,-0.378091,0,0.534702
0.069344,0.069344,0,-0.380366,-0.380366,0,0.537919
0.0655297,0.0655297,0,-0.382463,-0.382463,0,0.540885
0.0616954,0.0616954,0,-0.384383,-0.384383,0,0.5436
0.0578427,0.0578427,0,-0.386126,-0.386126,0,0.546065
0.0539734,0.0539734,0,-0.387691,-0.387691,0,0.548279
0.0500894,0.0500894,0,-0.38908,-0.38908,0,0.550242
0.0461924,0.0461924,0,-0.390291,-0.390291,0,0.551955
0.0422842,0.0422842,0,-0.391325,-0.391325,0,0.553417
0.0383665,0.0383665,0,-0.392181,-0.392181,0,0.554628
0.0344412,0.0344412,0,-0.392861,-0.392861,0,0.555589
0.0305099,0.0305099,0,-0.393363,-0.393363,0,0.556299
0.0265745,0.0265745,0,-0.393688,-0.393688,0,0.556759
0.0226367,0.0226367,0,-0.393835,-0.393835,0,0.556967
0.0186984,0.0186984,0,-0.393806,-0.393806,0,0.556926
0.0147612,0.0147612,0,-0.393599,-0.393599,0,0.556633
0.010827,0.010827,0,-0.393215,-0.393215,0,0.55609
0.0068975,0.0068975,0,-0.392654,-0.392654,0,0.555296
0.00297451,0.00297451,0,-0.391915,-0.391915,0,0.554252
-0.000940215,-0.000940215,0,-0.391,-0.391,0,0.552957
-0.0048449,-0.0048449,0,-0.389907,-0.389907,0,0.551412
-0.00873776,-0.00873776,0,-0.388637,-0.388637,0,0.549615
-0.012617,-0.012617,0,-0.387189,-0.387189,0,0.547568
-0.016481,-0.016481,0,-0.385565,-0.385565,0,0.545271
-0.0203277,-0.0203277,0,-0.383763,-0.383763,0,0.542723
-0.0241556,-0.0241556,0,-0.381784,-0.381784,0,0.539924
-0.0279628,-0.0279628,0,-0.379627,-0.379627,0,0.536874
-0.0317476,-0.0317476,0,-0.377294,-0.377294,0,0.533574
-0.0355081,-0.0355081,0,-0.374783,-0.374783,0,0.530023
-0.0392427,-0.0392427,0,-0.372095,-0.372095,0,0.526222
-0.0429494,-0.0429494,0,-0.36923,-0.36923,0,0.52217
-0.0466267,-0.0466267,0,-0.366187,-0.366187,0,0.517867
-0.0502726,-0.0502726,0,-0.362968,-0.362968,0,0.513314
-0.0538854,-0.0538854,0,-0.359571,-0.359571,0,0.50851
-0.0574634,-0.0574634,0,-0.355997,-0.355997,0,0.503455
-0.0610048,-0.0610048,0,-0.352245,-0.352245,0,0.49815
-0.0645077,-0.0645077,0,-0.348317,-0.348317,0,0.492594
-0.0679705,-0.0679705,0,-0.344211,-0.344211,0,0.486788
-0.0713914,-0.0713914,0,-0.339928,-0.339928,0,0.480731
-0.0747685,-0.0747685,0,-0.335468,-0.335468,0,0.474423
-0.0781001,-0.0781001,0,-0.33083,-0.33083,0,0.467864
-0.0813845,-0.0813845,0,-0.326015,-0.326015,0,0.461055
-0.0846198,-0.0846198,0,-0.321023,-0.321023,0,0.453995
-0.0878044,-0.0878044,0,-0.315854,-0.315854,0,0.446685
-0.0909363,-0.0909363,0,-0.310508,-0.310508,0,0.439124
-0.0940139,-0.0940139,0,-0.304984,-0.304984,0,0.431312
-0.0970354,-0.0970354,0,-0.299283,-0.299283,0,0.42325
-0.099999,-0.099999,0,-0.293405,-0.293405,0,0.414937
-0.102903,-0.102903,0,-0.28735,-0.28735,0,0.406374
-0.105745,-0.105745,0,-0.281117,-0.281117,0,0.397559
-0.108525,-0.108525,0,-0.274707,-0.274707,0,0.388494
-0.111239,-0.111239,0,-0.26812,-0.26812,0,0.379179
-0.113886,-0.113886,0,-0.261356,-0.261356,0,0.369613
-0.116465,-0.116465,0,-0.254414,-0.254414,0,0.359796
-0.118974,-0.118974,0,-0.247295,-0.247295,0,0.349729
-0.121411,-0.121411,0,-0.239999,-0.239999,0,0.339411
-0.123774,-0.123774,0,-0.232526,-0.232526,0,0.328842
-0.126061,-0.126061,0,-0.224876,-0.224876,0,0.318022
-0.12827,-0.12827,0,-0.217048,-0.217048,0,0.306952
-0.130401,-0.130401,0,-0.209043,-0.209043,0,0.295632
-0.132451,-0.132451,0,-0.200861,-0.200861,0,0.28406
-0.134418,-0.134418,0,-0.192502,-0.192502,0,0.272239
-0.1363,-0.1363,0,-0.183965,-0.183965,0,0.260166
-0.138096,-0.138096,0,-0.175251,-0.175251,0,0.247843
-0.139805,-0.139805,0,-0.16636,-0.16636,0,0.235269
-0.141423,-0.141423,0,-0.157292,-0.157292,0,0.222444
-0.14295,-0.14295,0,-0.148046,-0.148046,0,0.209369
-0.144383,-0.144383,0,-0.138624,-0.138624,0,0.196044
-0.145722,-0.145722,0,-0.129024,-0.129024,0,0.182467
-0.146963,-0.146963,0,-0.119247,-0.119247,0,0.16864
-0.148106,-0.148106,0,-0.109292,-0.109292,0,0.154562
-0.149149,-0.149149,0,-0.0991604,-0.0991604,0,0.140234
-0.150089,-0.150089,0,-0.0888515,-0.0888515,0,0.125655
-0.150925,-0.150925,0,-0.0783654,-0.0783654,0,0.110825
-0.151655,-0.151655,0,-0.067702,-0.067702,0,0.0957451
-0.152278,-0.152278,0,-0.0568614,-0.0568614,0,0.0804142
-0.152792,-0.152792,0,-0.0458436,-0.0458436,0,0.0648326
-0.153195,-0.153195,0,-0.0346485,-0.0346485,0,0.0490004
-0.153484,-0.153484,0,-0.0232763,-0.0232763,0,0.0329176
-0.15366,-0.15366,0,-0.0117267,-0.0117267,0,0.0165841
-0.153718,-0.153718,0,0,0,0,0
-0.153718,-0.153718,0,0,0,0,0
-0.15366,-0.15366,0,0.0117563,0.0117563,0,0.0166259
-0.153484,-0.153484,0,0.0233946,0.0233946,0,0.0330849
-0.153192,-0.153192,0,0.0349147,0.0349147,0,0.0493769
-0.152786,-0.152786,0,0.0463168,0.0463168,0,0.0655018
-0.152266,-0.152266,0,0.0576008,0.0576008,0,0.0814598
-0.151634,-0.151634,0,0.0687667,0.0687667,0,0.0972508
-0.150891,-0.150891,0,0.0798145,0.0798145,0,0.112875
-0.150038,-0.150038,0,0.0907443,0.0907443,0,0.128332
-0.149077,-0.149077,0,0.101556,0.101556,0,0.143622
-0.148008,-0.148008,0,0.11225,0.11225,0,0.158745
