x,y,yaw,delta
1,-3,0,0.55838
1.96894,-2.75271,0.249878,0.471844
2.86765,-2.31416,0.453993,0.400661
3.67953,-1.73034,0.623423,0.351628
4.39732,-1.03408,0.770172,0.7521
4.81093,-0.123625,1.14438,0.775787
4.84495,0.875796,1.53677,0.785381
4.48711,1.80958,1.93675,0.776593
3.79893,2.53512,2.32977,0.749291
2.89406,2.9608,2.70188,0.708172
1.89877,3.05782,3.04442,0.662154
0.921725,2.84481,3.35625,0.622508
0.0449755,2.36386,3.64333,0.674465
-0.636108,1.63165,3.96315,0.725416
-1.02051,0.70849,4.31783,0.765115
-1.03098,-0.291455,4.70192,0.784532
-0.651869,-1.21681,5.10123,0.777445
0.0532036,-1.92594,5.49491,0.742466
0.965794,-2.33482,5.86196,0.684732
1.96132,-2.42929,6.18857,0.615474
2.94366,-2.24217,6.47141,0.548565
3.85151,-1.82287,6.71586,0.496733
4.64789,-1.21808,6.93269,0.725779
5.18445,-0.374213,7.28763,0.760981
5.36881,0.608645,7.66856,0.782178
5.15839,1.58626,8.06599,-0.783803
5.34402,2.56887,7.66726,-0.766678
5.88535,3.40969,7.28197,-0.732957
6.68823,4.00582,6.92186,-0.68931
7.64087,4.30993,6.59219,-0.645826
8.64084,4.31748,6.29074,-0.660528
9.59522,4.01888,5.97996,-0.712286
10.3921,3.41478,5.63455,-0.75578
10.9107,2.55975,5.25757,0.635573
11.6555,1.89248,5.55265,0.580805
12.548,1.44137,5.81517,0.542883
13.5224,1.21663,6.05652,0.534933
14.5224,1.22699,6.29354,0.223396
15.5172,1.32804,6.38442,0.261136
16.4957,1.53467,6.49131,0.108497
17.4641,1.78372,6.53488,0.0943876
18.4225,2.06925,6.57275,0.0912211
19.3698,2.38965,6.60934,0.411305
20.2471,2.86963,6.78381,0.465221
21.011,3.51492,6.9846,-0.557958
21.9107,3.95148,6.73496,-0.501419
22.8838,4.18191,6.5157,-0.468946
23.8833,4.21176,6.31304,-0.384837
24.8746,4.07998,6.15103,-0.433225
25.8247,3.7681,5.96602,-0.49742
26.6853,3.25882,5.74883,0.232901
27.5903,2.83336,5.84372,0.209654
28.5282,2.48637,5.92883,-0.278621
29.4203,2.03457,5.8144,-0.308404
30.2478,1.47306,5.68698,-0.356151
30.9828,0.795078,5.53817,0.598638
31.8734,0.340267,5.81103,0.54181
32.8468,0.110923,6.05178,0.505551
33.8467,0.100933,6.27319,0.565871
34.8171,0.34259,6.52726,0.623066
35.6791,0.84941,6.81468,-0.447859
36.6221,1.18226,6.62251,-0.38719
37.6066,1.35757,6.4594,-0.351518
38.6062,1.38708,6.3127,0.0838084
39.6042,1.45015,6.3463,0.0940028
40.5991,1.55081,6.38402,0.110966
41.5886,1.6957,6.42858,-0.435668
42.5877,1.65491,6.24238,-0.387567
43.567,1.45224,6.0791,-0.369117
44.5033,1.10106,5.92436,-0.526175
45.3336,0.543755,5.69204,-0.584944
45.989,-0.211501,5.42714,0.593282
46.822,-0.764798,5.69687,0.537762
47.7622,-1.10559,5.93543,0.503843
48.7541,-1.23249,6.15595,0.245721
49.7537,-1.25941,6.25626,0.278782
50.7499,-1.17195,6.37076,0.327431
