x,y,z,S axis
0,0,0,0
1.005025126,0,0,1.005025126
2.010050251,0,0,2.010050251
3.015075377,0,0,3.015075377
4.020100503,0,0,4.020100503
5.025125628,0,0,5.025125628
6.030150754,0,0,6.030150754
7.035175879,0,0,7.035175879
8.040201005,0,0,8.040201005
9.045226131,0,0,9.045226131
10.05025126,0,0,10.05025126
11.05527638,0,0,11.05527638
12.06030151,0,0,12.06030151
13.06532663,0,0,13.06532663
14.07035176,0,0,14.07035176
15.07537688,0,0,15.07537688
16.08040201,0,0,16.08040201
17.08542714,0,0,17.08542714
18.09045226,0,0,18.09045226
19.09547739,0,0,19.09547739
20.10050251,0,0,20.10050251
21.10552764,0,0,21.10552764
22.11055276,0,0,22.11055276
23.11557789,0,0,23.11557789
24.12060302,0,0,24.12060302
25.12562814,0,0,25.12562814
26.13065327,0,0,26.13065327
27.13567839,0,0,27.13567839
28.14070352,0,0,28.14070352
29.14572864,0,0,29.14572864
30.15075377,0,0,30.15075377
31.15577889,0,0,31.15577889
32.16080402,0,0,32.16080402
33.16582915,0,0,33.16582915
34.17085427,0,0,34.17085427
35.1758794,0,0,35.1758794
36.18090452,0,0,36.18090452
37.18592965,0,0,37.18592965
38.19095477,0,0,38.19095477
39.1959799,0,0,39.1959799
40.20100503,0,0,40.20100503
41.20603015,0,0,41.20603015
42.21105528,0,0,42.21105528
43.2160804,0,0,43.2160804
44.22110553,0,0,44.22110553
45.22613065,0,0,45.22613065
46.23115578,0,0,46.23115578
47.2361809,0,0,47.2361809
48.24120603,0,0,48.24120603
49.24623116,0,0,49.24623116
50.25125628,0,0,50.25125628
51.25628141,0,0,51.25628141
52.26130653,0,0,52.26130653
53.26633166,0,0,53.26633166
54.27135678,0,0,54.27135678
55.27638191,0,0,55.27638191
56.28140704,0,0,56.28140704
57.28643216,0,0,57.28643216
58.29145729,0,0,58.29145729
59.29648241,0,0,59.29648241
60.30150754,0,0,60.30150754
61.30653266,0,0,61.30653266
62.31155779,0,0,62.31155779
63.31658291,0,0,63.31658291
64.32160804,0,0,64.32160804
65.32663317,0,0,65.32663317
66.33165829,0,0,66.33165829
67.33668342,0,0,67.33668342
68.34170854,0,0,68.34170854
69.34673367,0,0,69.34673367
70.35175879,0,0,70.35175879
71.35678392,0,0,71.35678392
72.36180905,0,0,72.36180905
73.36683417,0,0,73.36683417
74.3718593,0,0,74.3718593
75.37688442,0,0,75.37688442
76.38190955,0,0,76.38190955
77.38693467,0,0,77.38693467
78.3919598,0,0,78.3919598
79.39698492,0,0,79.39698492
80.40201005,0,0,80.40201005
81.40703518,0,0,81.40703518
82.4120603,0,0,82.4120603
83.41708543,0,0,83.41708543
84.42211055,0,0,84.42211055
85.42713568,0,0,85.42713568
86.4321608,0,0,86.4321608
87.43718593,0,0,87.43718593
88.44221106,0,0,88.44221106
89.44723618,0,0,89.44723618
90.45226131,0,0,90.45226131
91.45728643,0,0,91.45728643
92.46231156,0,0,92.46231156
93.46733668,0,0,93.46733668
94.47236181,0,0,94.47236181
95.47738693,0,0,95.47738693
96.48241206,0,0,96.48241206
97.48743719,0,0,97.48743719
98.49246231,0,0,98.49246231
99.49748744,0,0,99.49748744
100.5025126,0,0,100.5025126
101.5075377,0,0,101.5075377
102.5125628,0,0,102.5125628
103.5175879,0,0,103.5175879
104.5226131,0,0,104.5226131
105.5276382,0,0,105.5276382
106.5326633,0,0,106.5326633
107.5376884,0,0,107.5376884
108.5427136,0,0,108.5427136
109.5477387,0,0,109.5477387
110.5527638,0,0,110.5527638
111.5577889,0,0,111.5577889
112.5628141,0,0,112.5628141
113.5678392,0,0,113.5678392
114.5728643,0,0,114.5728643
115.5778894,0,0,115.5778894
116.5829146,0,0,116.5829146
117.5879397,0,0,117.5879397
118.5929648,0,0,118.5929648
119.5979899,0,0,119.5979899
120.6030151,0,0,120.6030151
121.6080402,0,0,121.6080402
122.6130653,0,0,122.6130653
123.6180905,0,0,123.6180905
124.6231156,0,0,124.6231156
125.6281407,0,0,125.6281407
126.6331658,0,0,126.6331658
127.638191,0,0,127.638191
128.6432161,0,0,128.6432161
129.6482412,0,0,129.6482412
130.6532663,0,0,130.6532663
131.6582915,0,0,131.6582915
132.6633166,0,0,132.6633166
133.6683417,0,0,133.6683417
134.6733668,0,0,134.6733668
135.678392,0,0,135.678392
136.6834171,0,0,136.6834171
137.6884422,0,0,137.6884422
138.6934673,0,0,138.6934673
139.6984925,0,0,139.6984925
140.7035176,0,0,140.7035176
141.7085427,0,0,141.7085427
142.7135678,0,0,142.7135678
143.718593,0,0,143.718593
144.7236181,0,0,144.7236181
145.7286432,0,0,145.7286432
146.7336683,0,0,146.7336683
147.7386935,0,0,147.7386935
148.7437186,0,0,148.7437186
149.7487437,0,0,149.7487437
150.7537688,0,0,150.7537688
151.758794,0,0,151.758794
152.7638191,0,0,152.7638191
153.7688442,0,0,153.7688442
154.7738693,0,0,154.7738693
155.7788945,0,0,155.7788945
156.7839196,0,0,156.7839196
157.7889447,0,0,157.7889447
158.7939698,0,0,158.7939698
159.798995,0,0,159.798995
160.8040201,0,0,160.8040201
161.8090452,0,0,161.8090452
162.8140704,0,0,162.8140704
163.8190955,0,0,163.8190955
164.8241206,0,0,164.8241206
165.8291457,0,0,165.8291457
166.8341709,0,0,166.8341709
167.839196,0,0,167.839196
168.8442211,0,0,168.8442211
169.8492462,0,0,169.8492462
170.8542714,0,0,170.8542714
171.8592965,0,0,171.8592965
172.8643216,0,0,172.8643216
173.8693467,0,0,173.8693467
174.8743719,0,0,174.8743719
175.879397,0,0,175.879397
176.8844221,0,0,176.8844221
177.8894472,0,0,177.8894472
178.8944724,0,0,178.8944724
179.8994975,0,0,179.8994975
180.9045226,0,0,180.9045226
181.9095477,0,0,181.9095477
182.9145729,0,0,182.9145729
183.919598,0,0,183.919598
184.9246231,0,0,184.9246231
185.9296482,0,0,185.9296482
186.9346734,0,0,186.9346734
187.9396985,0,0,187.9396985
188.9447236,0,0,188.9447236
189.9497487,0,0,189.9497487
190.9547739,0,0,190.9547739
191.959799,0,0,191.959799
192.9648241,0,0,192.9648241
193.9698492,0,0,193.9698492
194.9748744,0,0,194.9748744
195.9798995,0,0,195.9798995
196.9849246,0,0,196.9849246
197.9899497,0,0,197.9899497
198.9949749,0,0,198.9949749
200,0,0,200
200,0,0,200
200.8080808,0.000066,0,200.8080808
201.6161615,0.0003957542791,0,201.6161616
202.4242418,0.001253221693,0,202.4242423
203.2323208,0.002902196523,0,203.232323
204.0403969,0.005606511785,0,204.0404036
204.8484673,0.009629995572,0,204.848484
205.6565282,0.01523646666,0,205.6565644
206.4645741,0.02268972802,0,206.4646447
207.2725975,0.03225355773,0,207.2727247
208.0805891,0.04419169708,0,208.0808045
208.8885373,0.0587678351,0,208.8888841
209.6964276,0.0762455895,0,209.6969635
210.5042431,0.09688848323,0,210.5050427
211.3119633,0.1209599165,0,211.3131215
212.1195648,0.1487231338,0,212.1212001
212.9270203,0.180441185,0,212.9292783
213.7342987,0.2163768816,0,213.7373561
214.5413649,0.2567927451,0,214.5454336
215.3481792,0.3019509504,0,215.3535107
216.1546975,0.3521132606,0,216.1615875
216.9608706,0.4075409551,0,216.9696638
217.7666442,0.4684947492,0,217.7777395
218.5719588,0.5352347063,0,218.5858149
219.376749,0.6080201399,0,219.3938898
220.1809436,0.6871095075,0,220.2019641
220.9844654,0.7727602949,0,221.0100379
221.7872306,0.86522889,0,221.8181112
222.5891489,0.9647704467,0,222.6261839
