x,y,z,S axis
0,0,0,0
1.00503,0,0,1.005025126
2.01005,0,0,2.010050251
3.01508,0,0,3.015075377
4.0201,0,0,4.020100503
5.02513,0,0,5.025125628
6.03015,0,0,6.030150754
7.03518,0,0,7.035175879
8.0402,0,0,8.040201005
9.04523,0,0,9.045226131
10.0503,0,0,10.05025126
11.0553,0,0,11.05527638
12.0603,0,0,12.06030151
13.0653,0,0,13.06532663
14.0704,0,0,14.07035176
15.0754,0,0,15.07537688
16.0804,0,0,16.08040201
17.0854,0,0,17.08542714
18.0905,0,0,18.09045226
19.0955,0,0,19.09547739
20.1005,0,0,20.10050251
21.1055,0,0,21.10552764
22.1106,0,0,22.11055276
23.1156,0,0,23.11557789
24.1206,0,0,24.12060302
25.1256,0,0,25.12562814
26.1307,0,0,26.13065327
27.1357,0,0,27.13567839
28.1407,0,0,28.14070352
29.1457,0,0,29.14572864
30.1508,0,0,30.15075377
31.1558,0,0,31.15577889
32.1608,0,0,32.16080402
33.1658,0,0,33.16582915
34.1709,0,0,34.17085427
35.1759,0,0,35.1758794
36.1809,0,0,36.18090452
37.1859,0,0,37.18592965
38.191,0,0,38.19095477
39.196,0,0,39.1959799
40.201,0,0,40.20100503
41.206,0,0,41.20603015
42.2111,0,0,42.21105528
43.2161,0,0,43.2160804
44.2211,0,0,44.22110553
45.2261,0,0,45.22613065
46.2312,0,0,46.23115578
47.2362,0,0,47.2361809
48.2412,0,0,48.24120603
49.2462,0,0,49.24623116
50.2513,0,0,50.25125628
51.2563,0,0,51.25628141
52.2613,0,0,52.26130653
53.2663,0,0,53.26633166
54.2714,0,0,54.27135678
55.2764,0,0,55.27638191
56.2814,0,0,56.28140704
57.2864,0,0,57.28643216
58.2915,0,0,58.29145729
59.2965,0,0,59.29648241
60.3015,0,0,60.30150754
61.3065,0,0,61.30653266
62.3116,0,0,62.31155779
63.3166,0,0,63.31658291
64.3216,0,0,64.32160804
65.3266,0,0,65.32663317
66.3317,0,0,66.33165829
67.3367,0,0,67.33668342
68.3417,0,0,68.34170854
69.3467,0,0,69.34673367
70.3518,0,0,70.35175879
71.3568,0,0,71.35678392
72.3618,0,0,72.36180905
73.3668,0,0,73.36683417
74.3719,0,0,74.3718593
75.3769,0,0,75.37688442
76.3819,0,0,76.38190955
77.3869,0,0,77.38693467
78.392,0,0,78.3919598
79.397,0,0,79.39698492
80.402,0,0,80.40201005
81.407,0,0,81.40703518
82.4121,0,0,82.4120603
83.4171,0,0,83.41708543
84.4221,0,0,84.42211055
85.4271,0,0,85.42713568
86.4322,0,0,86.4321608
87.4372,0,0,87.43718593
88.4422,0,0,88.44221106
89.4472,0,0,89.44723618
90.4523,0,0,90.45226131
91.4573,0,0,91.45728643
92.4623,0,0,92.46231156
93.4673,0,0,93.46733668
94.4724,0,0,94.47236181
95.4774,0,0,95.47738693
96.4824,0,0,96.48241206
97.4874,0,0,97.48743719
98.4925,0,0,98.49246231
99.4975,0,0,99.49748744
100.503,0,0,100.5025126
101.508,0,0,101.5075377
102.513,0,0,102.5125628
103.518,0,0,103.5175879
104.523,0,0,104.5226131
105.528,0,0,105.5276382
106.533,0,0,106.5326633
107.538,0,0,107.5376884
108.543,0,0,108.5427136
109.548,0,0,109.5477387
110.553,0,0,110.5527638
111.558,0,0,111.5577889
112.563,0,0,112.5628141
113.568,0,0,113.5678392
114.573,0,0,114.5728643
115.578,0,0,115.5778894
116.583,0,0,116.5829146
117.588,0,0,117.5879397
118.593,0,0,118.5929648
119.598,0,0,119.5979899
120.603,0,0,120.6030151
121.608,0,0,121.6080402
122.613,0,0,122.6130653
123.618,0,0,123.6180905
124.623,0,0,124.6231156
125.628,0,0,125.6281407
126.633,0,0,126.6331658
127.638,0,0,127.638191
128.643,0,0,128.6432161
129.648,0,0,129.6482412
130.653,0,0,130.6532663
131.658,0,0,131.6582915
132.663,0,0,132.6633166
133.668,0,0,133.6683417
134.673,0,0,134.6733668
135.678,0,0,135.678392
136.683,0,0,136.6834171
137.688,0,0,137.6884422
138.693,0,0,138.6934673
139.698,0,0,139.6984925
140.704,0,0,140.7035176
141.709,0,0,141.7085427
142.714,0,0,142.7135678
143.719,0,0,143.718593
144.724,0,0,144.7236181
145.729,0,0,145.7286432
146.734,0,0,146.7336683
147.739,0,0,147.7386935
148.744,0,0,148.7437186
149.749,0,0,149.7487437
150.754,0,0,150.7537688
151.759,0,0,151.758794
152.764,0,0,152.7638191
153.769,0,0,153.7688442
154.774,0,0,154.7738693
155.779,0,0,155.7788945
156.784,0,0,156.7839196
157.789,0,0,157.7889447
158.794,0,0,158.7939698
159.799,0,0,159.798995
160.804,0,0,160.8040201
161.809,0,0,161.8090452
162.814,0,0,162.8140704
163.819,0,0,163.8190955
164.824,0,0,164.8241206
165.829,0,0,165.8291457
166.834,0,0,166.8341709
167.839,0,0,167.839196
168.844,0,0,168.8442211
169.849,0,0,169.8492462
170.854,0,0,170.8542714
171.859,0,0,171.8592965
172.864,0,0,172.8643216
173.869,0,0,173.8693467
174.874,0,0,174.8743719
175.879,0,0,175.879397
176.884,0,0,176.8844221
177.889,0,0,177.8894472
178.894,0,0,178.8944724
179.899,0,0,179.8994975
180.905,0,0,180.9045226
181.91,0,0,181.9095477
182.915,0,0,182.9145729
183.92,0,0,183.919598
184.925,0,0,184.9246231
185.93,0,0,185.9296482
186.935,0,0,186.9346734
187.94,0,0,187.9396985
188.945,0,0,188.9447236
189.95,0,0,189.9497487
190.955,0,0,190.9547739
191.96,0,0,191.959799
192.965,0,0,192.9648241
193.97,0,0,193.9698492
194.975,0,0,194.9748744
195.98,0,0,195.9798995
196.985,0,0,196.9849246
197.99,0,0,197.9899497
198.995,0,0,198.9949749
200,0,0,200
200,0,0,200
200.808,6.60E-05,0,200.8080808
201.616,0.000396,0,201.6161616
202.424,0.001253,0,202.4242423
203.232,0.002902,0,203.232323
204.04,0.005607,0,204.0404036
204.848,0.00963,0,204.8484841
205.657,0.015236,0,205.6565644
206.465,0.02269,0,206.4646446
207.273,0.032254,0,207.2727247
208.081,0.044192,0,208.0808045
208.889,0.058768,0,208.8888841
209.696,0.076246,0,209.6969635
210.504,0.096888,0,210.5050426
211.312,0.12096,0,211.3131215
212.12,0.148723,0,212.1212
212.927,0.180441,0,212.9292782
